model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,74563.77195262909,15792.096387505531,64071.43363189697,19823.0366897583,34564.13432312012
wav2vec2-base,67969.5120716095,13300.86836218834,69161.62075805664,19762.640018463135,37152.370613098145
MERT-v1-330M,70614.87418556213,14583.305837305263,24689.22669506073,4406.324895747006,12190.619067192078
MERT-v1-95M,53517.66998434067,11319.611861303449,42696.41770172119,9884.268189430237,21085.71204185486
jukebox,326507.69682324305,67216.13660371111,77470.94080263376,19255.006325934082,30025.656675815582
musicgen-large,141074.84199547768,29210.71225324273,49903.431243896484,16918.25965499878,38068.862617492676
musicgen-medium,109826.01817893982,22175.29911983013,56917.35291290283,16705.66111755371,36758.37790679932
musicgen-small,84020.18424034119,15957.657668113708,43943.55372428894,10799.527932167053,25900.437057495117
musicgen-audio,72350.3500366211,27184.55732345581,95918.94695281982,19283.75325012207,41527.46007537842
baseline-mel,123774.94546508789,23568.92933654785,85048.3808517456,16119.39631652832,42064.81474304199
baseline-mfcc,111148.39535522461,12395.866443634033,93951.62371826172,18629.520385742188,40220.92317199707
baseline-chroma,122811.55075073242,34619.80640411377,101865.8625793457,16299.469024658203,31508.848175048828
baseline-concat,101195.8228149414,17716.283846378326,75762.33893585205,11592.884035110474,28432.023712158203
